old_id,new_id,last_seen_frame,new_seen_frame,gap,distance
17,19,28,40,12,77.41
13,32,39,54,15,49.09
32,13,54,57,3,78.41
19,17,65,67,2,88.73
8,35,68,74,6,29.73
33,38,67,80,13,91.08
37,38,82,87,5,41.44
37,33,81,96,15,74.25
38,33,87,102,15,48.55
2,7,119,126,7,70.6
7,50,115,118,3,91.81
7,2,112,119,7,48.75
41,7,154,159,5,93.61
7,59,167,175,8,76.03
79,19,279,287,8,18.11
79,94,280,283,3,22.47
88,94,270,282,12,65.39
1,73,282,284,2,45.31
1,72,279,284,5,84.34
73,1,284,288,4,47.17
29,72,280,290,10,71.28
29,73,287,300,13,30.23
